quetta	1e+30	1e30	\N
ronna	1e+27	1e27	\N
yotta	1e+24	1e24	\N
zetta	1e+21	1e21	\N
exa	1e+18	1e18	\N
peta	1e+15	1e15	\N
tera	1000000000000	1e12	\N
giga	1000000000	1e9	\N
mega	1000000	1e6	\N
myria	10000	1e4	\N
kilo	1000	1e3	\N
hecto	100	1e2	\N
deca	10	1e1	\N
deka	10	deca	\N
deci	0.1	1e-1	\N
centi	0.01	1e-2	\N
milli	0.001	1e-3	\N
micro	1e-06	1e-6	\N
nano	1e-09	1e-9	\N
pico	1e-12	1e-12	\N
femto	1e-15	1e-15	\N
atto	1e-18	1e-18	\N
zepto	1e-21	1e-21	\N
yocto	1e-24	1e-24	\N
ronto	1e-27	1e-27	\N
quecto	1e-30	1e-30	\N
quarter	0.25	1|4	\N
semi	0.5	0.5	\N
demi	0.5	0.5	\N
hemi	0.5	0.5	\N
half	0.5	0.5	\N
double	2	2	\N
triple	3	3	\N
treble	3	3	\N
kibi	1024	2^10	\N
mebi	1048576	2^20	\N
gibi	1073741824	2^30	\N
tebi	1099511627776	2^40	\N
pebi	1.125899906842624e+15	2^50	\N
exbi	1.152921504606847e+18	2^60	\N
zebi	1.1805916207174113e+21	2^70	\N
yobi	1.2089258196146292e+24	2^80	\N
robi	1.2379400392853803e+27	2^90	\N
quebi	1.2676506002282294e+30	2^100	\N
Ki	1024	kibi	\N
Mi	1048576	mebi	\N
Gi	1073741824	gibi	\N
Ti	1099511627776	tebi	\N
Pi	1.125899906842624e+15	pebi	\N
Ei	1.152921504606847e+18	exbi	\N
Zi	1.1805916207174113e+21	zebi	\N
Yi	1.2089258196146292e+24	yobi	\N
Ri	1.2379400392853803e+27	robi	\N
Qi	1.2676506002282294e+30	quebi	\N
Q	1e+30	quetta	\N
R	1e+27	ronna	\N
Y	1e+24	yotta	\N
Z	1e+21	zetta	\N
E	1e+18	exa	\N
P	1e+15	peta	\N
T	1000000000000	tera	\N
G	1000000000	giga	\N
M	1000000	mega	\N
k	1000	kilo	\N
h	100	hecto	\N
da	10	deka	\N
d	0.1	deci	\N
c	0.01	centi	\N
m	0.001	milli	\N
u	1e-06	micro	\N
mu	1e-06	micro	\N
n	1e-09	nano	\N
p	1e-12	pico	\N
f	1e-15	femto	\N
a	1e-18	atto	\N
z	1e-21	zepto	\N
y	1e-24	yocto	\N
r	1e-27	ronto	\N
q	1e-30	quecto	\N
US	1.000002000004	US	\N
survey	1.000002000004	US	\N
geodetic	1.000002000004	US	\N
int	0.999998	int	\N
Zena	12	12	\N
Duna	144	12^2	\N
Trina	1728	12^3	\N
Quedra	20736	12^4	\N
Quena	248832	12^5	\N
Hesa	2985984	12^6	\N
Seva	35831808	12^7	\N
Aka	429981696	12^8	\N
Neena	5159780352	12^9	\N
Dexa	61917364224	12^10	\N
Lefa	743008370688	12^11	\N
Zennila	8916100448256	12^12	\N
Zeni	0.08333333333333333	12^-1	\N
Duni	0.006944444444444444	12^-2	\N
Trini	0.0005787037037037037	12^-3	\N
Quedri	4.8225308641975306e-05	12^-4	\N
Queni	4.018775720164609e-06	12^-5	\N
Hesi	3.3489797668038406e-07	12^-6	\N
Sevi	2.790816472336534e-08	12^-7	\N
Aki	2.3256803936137784e-09	12^-8	\N
Neeni	1.9380669946781485e-10	12^-9	\N
Dexi	1.615055828898457e-11	12^-10	\N
Lefi	1.345879857415381e-12	12^-11	\N
Zennili	1.1215665478461509e-13	12^-12	\N
⅛	0.125	1|8	\N
¼	0.25	1|4	\N
⅜	0.375	3|8	\N
½	0.5	1|2	\N
⅝	0.625	5|8	\N
¾	0.75	3|4	\N
⅞	0.875	7|8	\N
⅙	0.16666666666666666	1|6	\N
⅓	0.3333333333333333	1|3	\N
⅔	0.6666666666666666	2|3	\N
⅚	0.8333333333333334	5|6	\N
⅕	0.2	1|5	\N
⅖	0.4	2|5	\N
⅗	0.6	3|5	\N
⅘	0.8	4|5	\N
µ	1e-06	micro	\N
μ	1e-06	micro	\N
UK	0.9999982611548556	UK	\N
british	0.9999982611548556	UK	\N
